chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,gas_boiler
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1604.0490592,0.0,0.0,0.0,0.0,3839.6113348000003
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1604.0490592,0.0,0.0,0.0,0.0,3839.6113348000003
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1604.0490592,0.0,0.0,0.0,0.0,3839.6113348000003
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1604.0490592,0.0,0.0,0.0,0.0,3839.6113348000003
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1239.0645854690172,0.0,0.0,0.0,0.0,4204.595808530983
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
0.0,1028.4072177236012,0.0,0.0,0.0,0.0,4415.253176276399
