hour,pv,chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,gas_boiler,battery
1,200.4440010732327,0.0,2418.938526355453,0.0,0.0,0.0,0.0,0.0,0.0
2,86.87651221450815,0.0,2418.938526355453,0.0,0.0,0.0,0.0,0.0,0.0
3,242.83555221404688,0.0,2418.938526355453,0.0,0.0,0.0,0.0,0.0,144.81267896474674
4,381.00060778410807,0.0,2418.938526355453,0.0,0.0,0.0,0.0,0.0,6.647623394685357
5,592.4350110049593,0.0,2418.938526355453,0.0,0.0,0.0,0.0,0.0,0.0
6,984.4260209366857,0.0,2206.6210039138946,0.0,0.0,0.0,0.0,0.0,79.96895734120017
7,1007.9768826815825,0.0,2206.6210039138946,0.0,0.0,0.0,0.0,0.0,56.418095596303374
8,1049.321728855957,0.0,2206.6210039138946,0.0,0.0,0.0,0.0,0.0,15.07324942192895
9,1050.3684338223968,0.0,1756.21832371185,0.0,0.0,0.0,0.0,0.0,0.0
10,937.8476499301122,0.0,1868.7391076041345,0.0,0.0,0.0,0.0,0.0,0.0
11,737.9270013400993,0.0,2068.6597561941476,0.0,0.0,0.0,0.0,0.0,0.0
12,524.9225406695884,0.0,2418.938526355453,0.0,0.0,0.0,0.0,0.0,0.0
