demand,battery,EX
2335.445205479452,0.0,3735.3041335303333
2335.445205479452,0.0,3166.152627530333
2806.5867575342468,0.0,3476.6108394755383
2806.5867575342468,0.0,4169.034791475538
2806.5867575342468,0.0,5228.653263475539
3271.0159821917805,0.0,3869.1256797221135
3271.0159821917805,0.0,3987.152489722114
3271.0159821917805,0.0,4194.355111722114
2806.5867575342468,0.0,7523.619013475538
2806.5867575342468,0.0,6959.713143475539
2806.5867575342468,0.0,5957.796667475539
2335.445205479452,0.0,5361.451293530334
