chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,gas_boiler
0.0,1693.2569684488171,0.0,0.0,0.0,0.0,3854.8023918251556
0.0,1693.2569684488171,0.0,0.0,0.0,0.0,3854.8023918251556
0.0,1693.2569684488171,0.0,0.0,0.0,0.0,1853.0900630580322
0.0,1693.2569684488171,0.0,0.0,0.0,0.0,1853.0900630580322
0.0,1693.2569684488171,0.0,0.0,0.0,0.0,1853.0900630580322
0.0,1544.6347027397262,0.0,0.0,0.0,0.0,0.0
0.0,1544.6347027397262,0.0,0.0,0.0,0.0,0.0
0.0,1544.6347027397262,0.0,0.0,0.0,0.0,0.0
0.0,1229.352826598295,0.0,0.0,0.0,0.0,2316.9942049085544
0.0,1308.117375322894,0.0,0.0,0.0,0.0,2238.2296561839553
0.0,1448.0618293359032,0.0,0.0,0.0,0.0,2098.285202170946
0.0,1693.2569684488171,0.0,0.0,0.0,0.0,3854.8023918251556
