demand,battery,EX
2335.445205479452,0.0,1401.5160885205482
2335.445205479452,0.0,832.3645825205481
2806.5867575342468,0.0,1142.822794465753
2806.5867575342468,0.0,1835.2467464657534
2806.5867575342468,0.0,2894.865218465753
3271.0159821917805,0.0,3869.1256797221135
3271.0159821917805,0.0,3987.152489722114
3271.0159821917805,0.0,4194.355111722114
2806.5867575342468,0.0,5189.830968465753
2806.5867575342468,0.0,4625.925098465753
2806.5867575342468,0.0,3624.008622465753
2335.445205479452,0.0,3027.663248520548
