chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,gas_boiler
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
0.0,1329.4460719999997,0.0,0.0,0.0,0.0,4114.214322000001
