chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps
0.0,898.0426730504084,0.0,0.0,0.0,4650.016687223564
0.0,898.0426730504087,0.0,0.0,0.0,4650.016687223564
0.0,898.0426730504088,0.0,0.0,0.0,2648.3043584564407
0.0,898.0426730504087,0.0,0.0,0.0,2648.3043584564407
0.0,496.29929447945227,0.0,0.0,0.0,3050.047737027397
0.0,0.0,0.0,0.0,0.0,1544.6347027397262
0.0,0.0,0.0,0.0,0.0,1544.6347027397262
0.0,0.0,0.0,0.0,0.0,1544.6347027397262
0.0,0.0,0.0,0.0,0.0,3546.3470315068494
0.0,0.0,0.0,0.0,0.0,3546.3470315068494
0.0,70.965642146119,0.0,0.0,0.0,3475.3813893607303
0.0,752.4524984086755,0.0,0.0,0.0,4795.606861865297
