hour,battery,EX,demand
1,0.0,0.0,2335.445205479452
2,0.0,0.0,2335.445205479452
3,0.0,0.0,2806.5867575342468
4,0.0,0.0,2806.5867575342468
5,0.0,0.0,2806.5867575342468
6,0.0,1221.18047502544,3271.0159821917805
7,0.0,1339.2072850254403,3271.0159821917805
8,0.0,1546.409907025441,3271.0159821917805
9,0.0,1444.1669594637965,2806.5867575342468
10,0.0,880.2610894637959,2806.5867575342468
11,0.0,0.0,2806.5867575342468
12,0.0,0.0,2335.445205479452
